,USA,World
1880,39.41,
1890,45.21,
1901,49.3,
1902,50.5,
1903,50.6,
1904,49.6,
1905,50.3,
1906,50.1,
1907,50.2,
1908,51.9,
1909,52.8,
1910,51.8,
1911,53.4,
1912,54.1,
1913,53.5,
1914,54.6,
1915,55.1,
1916,54.2,
1917,54,
1918,47.2,
1919,55.3,
1920,55.4,
1921,58.2,
1922,58.1,
1923,57.5,
1924,58.5,
1925,58.5,
1926,57.9,
1927,59.4,
1928,58.3,
1929,58.5,
1930,59.6,
1931,60.3,
1932,61,
1933,60.88,
1934,60.23,
1935,60.89,
1936,60.35,
1937,61.05,
1938,62.39,
1939,63.07,
1940,63.23,
1941,63.8,
1942,64.59,
1943,64.3,
1944,65.09,
1945,65.58,
1946,66.28,
1947,66.69,
1948,67.25,
1949,67.63,
1950,68.1,46.5
1951,68.2,47.1
1952,68.4,48.2
1953,68.7,48.8
1954,69.5,49.6
1955,69.5,50.1
1956,69.6,50.6
1957,69.4,50.9
1958,69.7,51.5
1959,69.9,49.3
1960,69.8,47.7
1961,70.2,50.4
1962,70.1,53.1
1963,69.9,53.6
1964,70.2,54.2
1965,70.2,53.9
1966,70.2,54.5
1967,70.5,54.9
1968,70.2,55.5
1969,70.5,55.8
1970,70.7,56.1
1971,71.1,55.9
1972,71.2,57.1
1973,71.4,57.6
1974,71.9,58
1975,72.5,58.3
1976,72.8,58.7
1977,73.2,59.4
1978,73.4,59.7
1979,73.8,60.2
1980,73.7,60.6
1981,74.1,61
1982,74.5,61.4
1983,74.5,61.6
1984,74.7,61.9
1985,74.6,62.2
1986,74.7,62.8
1987,74.9,63.2
1988,74.8,63.3
1989,75.1,63.8
1990,75.4,64
1991,75.5,64.1
1992,75.8,64.3
1993,75.6,64.4
1994,75.7,64.5
1995,75.9,64.9
1996,76.2,65.1
1997,76.5,65.5
1998,76.7,65.7
1999,76.7,66.1
2000,76.8,66.5
2001,76.9,66.8
2002,77,67.1
2003,77.2,67.5
2004,77.6,67.8
2005,77.6,68.2
2006,77.8,68.7
2007,78.1,69.1
2008,78.2,69.3
2009,78.6,69.8
2010,78.8,70.1
2011,78.8,70.5
2012,78.9,70.9
2013,79,71.2
2014,79,71.6
2015,78.9,71.8
2016,78.8,72.1
2017,78.8,72.3
2018,79,72.6
2019,79.1,72.8
2020,77.4,72
2021,77.2,71